Time,can,PL
-1000000000,can0,20E#4E2003A0C63F8FFF
-1000000000,can0,522#DF7FD0007F08001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003F0880000
-1000000000,can0,0D0#427504646C018700
-1000000000,can0,033#0007A0000E0007D0
-1000000000,can0,434#0105A0AA1EB028C0
-1000000000,can0,6E0#015E015D01560156
-1000000000,can0,498#87FFBFFC69806288
-1000000000,can0,230#FE000002E4000200
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#2007C0000002A600
-1000000000,can0,5E1#893FE00B0A00DC80
-1000000000,can0,00E#2052560208097602
-1000000000,can0,162#00080383EA11F4CE
-1000000000,can0,0A7#0010F9A4C12D20A0
-1000000000,can0,2A3#0000008412803C10
-1000000000,can0,69E#04400482200015A2
-1000000000,can0,125#9000415F437E2560
-1000000000,can0,6E0#015D015D01560159
-1000000000,can0,153#00000000000C0002
-1000000000,can0,295#0000000000001840
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,19C#1286200CC20028A0
-1000000000,can0,0D0#4A75046469018900
-1000000000,can0,033#000798000E4007D0
-1000000000,can0,274#00F229F3507C8E43
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8090410000488
-1000000000,can0,273#0000000800000000
-1000000000,can0,1C4#017002002807BE02
-1000000000,can0,2A4#36DC001C040898D0
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,371#0106000000000880
-1000000000,can0,67D#0018600208080226
-1000000000,can0,354#2007C0000002A600
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,28B#0000000000000000
-1000000000,can0,6FC#0000075FB2B8D800
-1000000000,can0,0A7#0010FBA4C12D20A0
-1000000000,can0,239#00000073C00043A0
-1000000000,can0,125#9000415F437E0760
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,51B#2842A9CA3A918941
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,32D#00000420AC010020
-1000000000,can0,0CC#434101B238AFA21E
-1000000000,can0,2B4#14E9740000005800
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,5B3#0400000000000400
-1000000000,can0,3C1#7B551FBC1DC6A92E
-1000000000,can0,03C#000004002F000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2007A0C6BF8FFF
-1000000000,can0,207#040460482ADED518
-1000000000,can0,522#DF7FD0007E90001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,0D0#5275046468018900
-1000000000,can0,033#000790000E8007D0
-1000000000,can0,580#00000003E9080000
-1000000000,can0,434#012620AA2ED038D0
-1000000000,can0,6E0#015D015B01590159
-1000000000,can0,0D7#0000020080000000
-1000000000,can0,498#87FFBFFC65806349
-1000000000,can0,4C9#01F8D5820D02F64B
-1000000000,can0,1D6#020F828030240580
-1000000000,can0,577#000008000000014E
-1000000000,can0,533#ED7FCF7EFFF1EF7F
-1000000000,can0,230#FD000002E4000400
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#2008000000028F00
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,00E#20525602080975F6
-1000000000,can0,162#00080383EA11F4CE
-1000000000,can0,0A7#0010FAA4C12D40A0
-1000000000,can0,497#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,0F4#9A0C010204B10240
-1000000000,can0,69E#04400482200015A2
-1000000000,can0,125#9000415F437DE960
-1000000000,can0,6E0#015D015B0159015B
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#1682200CC20028A0
-1000000000,can0,0D0#5A75046464018C00
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,033#000788000EC007D0
-1000000000,can0,274#00F22BF1507C8E43
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,26E#0106408288EA0A04
-1000000000,can0,2AB#A4D0C9D7E2D7CAFF
-1000000000,can0,354#200800000002F800
-1000000000,can0,5E1#893FE00B0A00D480
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975FC
-1000000000,can0,0A7#0010F824C12D40A0
-1000000000,can0,2D2#0000500000000000
-1000000000,can0,55C#101B000041823000
-1000000000,can0,6D7#4101CF008007223C
-1000000000,can0,12C#7906E0000001FDD0
-1000000000,can0,125#9000415F437DCB60
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,4FD#113B0A4D4F0BCA88
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2003A0C7BFAFFF
-1000000000,can0,522#DF7FD0007E18001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003E1880000
-1000000000,can0,295#0000000000001840
-1000000000,can0,0D0#6275046463018C00
-1000000000,can0,033#000780000F0007D0
-1000000000,can0,434#014680AA4EE058F0
-1000000000,can0,6E0#015D015C015B015B
-1000000000,can0,498#87FFBFFC6180640A
-1000000000,can0,230#FC000002E4000600
-1000000000,can0,3C1#7B551FBBDD47692E
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,2E1#0000000000000004
-1000000000,can0,354#200800000002F800
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,00E#2052560208097602
-1000000000,can0,162#00080383EA11F4CE
-1000000000,can0,0A7#0010F8A4C12D40A0
-1000000000,can0,69E#044004821FC01582
-1000000000,can0,125#9000415F437DAD60
-1000000000,can0,6E0#015F015C015B015D
-1000000000,can0,153#00000000000C0002
-1000000000,can0,662#4EA0000040000000
-1000000000,can0,19C#1A80200C820028A0
-1000000000,can0,0D0#6A7504645F018F00
-1000000000,can0,107#0000000000000000
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,033#000778000F4007D0
-1000000000,can0,274#00F22DEF507C8E43
-1000000000,can0,0C0#6000000000000000
-1000000000,can0,0BA#06C8090410000488
-1000000000,can0,354#200800000002F080
-1000000000,can0,5E1#893FE00B0A00D880
-1000000000,can0,28B#0000000000000000
-1000000000,can0,00E#20525602080975FC
-1000000000,can0,0A7#0010FBA4C12D30A0
-1000000000,can0,407#50015FF01540BD60
-1000000000,can0,125#9000415F437D8F60
-1000000000,can0,FFF#0000000000000000
-1000000000,can0,193#00080803E8880000
-1000000000,can0,20E#4E2007A0C83FAFFF
-1000000000,can0,522#DF7FD0007DA0001C
-1000000000,can0,366#80DDC8020147CE38
-1000000000,can0,580#00000003DA080000
-1000000000,can0,0D0#727504645E018F00
-1000000000,can0,033#000770000F8007D0
